account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,latest_sdk_version,api_change_pct,content_change_pct,active_users_change_pct,workflow_change_pct,latest_api_calls,latest_active_users,ticket_count,p1_ticket_count,open_ticket_count,avg_resolution_hours,priority_score_total,using_v3_sdk,using_v4_0_sdk,competitor_mentioned,budget_pressure,executive_involved,security_concern,migration_concern,product_dissatisfaction,support_frustration,silent_churn,expansion_opportunity,renewal_sentiment,csm_risk_level,latest_csm_note,latest_nps,latest_nps_comment,comment_sentiment_score,nps_competitor_mentioned,nps_budget_pressure,nps_product_dissatisfaction,nps_support_frustration,nps_migration_concern,nps_renewal_risk,nps_comment_mismatch,any_competitor_signal,any_budget_pressure,any_migration_concern,any_product_dissatisfaction,product_risk_score,product_recommendations,risk_score,risk_tier,risk_reasons
1058,Magenta Health,22000,2026-08-22,Starter,Healthcare,Sarah Chen,EMEA,v4.1.0,5.52,2.38,50.0,0.0,5293,3,2.0,0.0,0.0,15.95,3.0,False,False,,,,,,,,,,,,,6.0,Would recommend to anyone in our industry.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],52,MEDIUM,Detractor NPS; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1049,Fossil Creek Ranch,1163000,2026-08-21,Enterprise,E-commerce,David Kim,LATAM,v4.3.0,43.52,-5.22,53.62,8.14,265712,106,2.0,0.0,0.0,10.6,6.0,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,10,['Review security roadmap'],50,MEDIUM,NPS/comment mismatch; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1063,Canyon Edge Adventures,283000,2026-09-08,Scale,Travel & Hospitality,Sarah Chen,APAC,v4.3.0,26.36,21.69,-2.86,18.0,88814,34,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,10,['Review security roadmap'],50,MEDIUM,NPS/comment mismatch; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1068,Keystone Education Group,220000,2026-09-08,Scale,Government,Anna Kowalski,EMEA,v4.3.0,9.73,59.47,15.38,41.3,91881,45,3.0,1.0,0.0,12.033333333333331,16.0,False,False,,,,,,,,,,,,,8.0,We evaluated 5 CMS platforms. Contentstack won easily.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],50,MEDIUM,Recent P1 incidents; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1094,Cloudbreak Surf Co,190000,2026-07-28,Growth,Travel & Hospitality,Sarah Chen,NA-East,v4.1.0,25.32,17.24,0.0,-12.12,30422,13,3.0,0.0,0.0,6.366666666666667,8.0,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,10,['Review security roadmap'],50,MEDIUM,NPS/comment mismatch; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1045,Windmill Energy,27000,2026-08-19,Starter,Government,James Okafor,NA-West,v4.3.0,13.94,-13.21,0.0,50.0,5493,2,3.0,0.0,0.0,10.966666666666669,8.0,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,10,['Review security roadmap'],50,MEDIUM,NPS/comment mismatch; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1015,Evergreen Media,1330000,2026-07-11,Enterprise,Education,Priya Sharma,EMEA,v4.0.0,-23.08,-25.62,-24.69,-35.78,168227,61,4.0,0.0,2.0,25.5,14.0,False,True,False,False,True,False,False,False,False,True,False,negative,medium,"04/07 bluepeak software
They're a developer-heavy team and love the DX of our APIs but hate the management 
console UI. Their VP of Product called it ""embarrassing to demo to stakeholders.""
They renewed last year with reluctance. On the fence this time. NPS was 6.",,,,,,,,,,,False,False,False,False,0,[],40,MEDIUM,NPS/comment mismatch; Executive escalation; Silent churn pattern
1086,Starboard Ventures,431000,2026-08-23,Scale,Retail,Carlos Mendez,EMEA,v4.3.0,6.05,34.13,22.58,6.67,94423,38,3.0,0.0,0.0,10.933333333333332,8.0,False,False,,,,,,,,,,,,,7.0,Would recommend to anyone in our industry.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],40,MEDIUM,Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1087,Quicksilver Payments,368000,2026-08-25,Scale,Healthcare,Priya Sharma,NA-West,v4.1.0,14.31,-3.53,0.0,-26.72,81496,35,3.0,0.0,0.0,17.566666666666666,8.0,False,False,,,,,,,,,,,,,8.0,Transformed how our team publishes content. Love it.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],40,MEDIUM,Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1016,Northstar Logistics,115000,2026-06-30,Growth,Manufacturing,Emily Watson,LATAM,v4.1.0,-19.03,3.45,-16.67,-11.11,22242,10,7.0,0.0,0.0,23.133333333333336,11.0,False,False,False,True,False,False,False,False,False,False,False,neutral,medium,"4/8 evergreen media 1015
Product is fine, team is fine, but their parent company got acquired and all vendor 
contracts are under review. New procurement team is asking for enterprise-level 
SLAs on their Growth plan pricing. It's a negotiation game.",7.0,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.,4.0,False,False,True,False,False,medium,0.0,False,True,False,True,10,['Schedule product feedback session'],40,MEDIUM,Budget pressure; Product dissatisfaction; Product risk score: 10
1032,Obsidian Data,68000,2026-07-31,Growth,SaaS / Technology,James Okafor,LATAM,v4.3.0,22.8,-13.79,16.67,33.33,26373,14,3.0,0.0,0.0,14.833333333333334,8.0,False,False,,,,,,,,,,,,,7.0,Transformed how our team publishes content. Love it.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],40,MEDIUM,Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1010,TerraFirma Manufacturing,438000,2026-07-10,Scale,SaaS / Technology,Priya Sharma,EMEA,v4.0.0,-32.01,-24.82,-46.15,-5.88,58412,21,7.0,0.0,1.0,28.0,18.0,False,True,False,False,True,False,False,False,False,False,False,neutral,medium,"3/18 orion education (1009)
They love the product but are merging with another ed-tech company that uses WordPress.
Unclear which platform survives. Decision expected by May. Their champion (Director 
of Content) is nervous about her own role post-merger. She's been our main advocate.",,,,,,,,,,,False,False,False,False,0,[],38,MEDIUM,API usage declined >25%; Active users declined >25%; NPS/comment mismatch; Executive escalation
1036,Iron Bridge Capital,21000,2026-08-15,Starter,Travel & Hospitality,Raj Patel,NA-East,v4.1.0,15.31,27.91,-33.33,50.0,4933,2,,,,,,False,False,,,,,,,,,,,,,10.0,Best headless CMS on the market. Period.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],38,MEDIUM,Active users declined >25%; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity; Promoter NPS
1039,Redwood Health,1654000,2026-09-03,Enterprise,E-commerce,Sarah Chen,NA-East,v4.2.3,4.51,2.5,1.14,13.6,227085,89,,,,,,False,False,,,,,,,,,,,,,10.0,Would recommend to anyone in our industry.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],30,MEDIUM,Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity; Promoter NPS
1090,Bluebell Organics,1317000,2026-07-25,Enterprise,Government,Anna Kowalski,APAC,v4.1.0,24.83,33.39,1.22,-17.33,233389,83,1.0,0.0,0.0,13.5,2.0,False,False,,,,,,,,,,,,,9.0,,5.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],30,MEDIUM,Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity; Promoter NPS
1023,Mosaic Digital,35000,2026-07-10,Starter,Manufacturing,Carlos Mendez,NA-West,v4.3.0,20.42,14.55,-33.33,50.0,5549,2,3.0,1.0,0.0,10.333333333333334,12.0,False,False,False,False,False,False,False,False,False,False,False,neutral,low,"3/28 jade river tech
Random ping from their developer asking about GraphQL introspection. Non-renewal 
related. They're deep in implementation. All good.",9.0,Transformed how our team publishes content. Love it.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,0,[],8,LOW,Active users declined >25%; Recent P1 incidents; Promoter NPS
1024,Beacon Insurance,285000,2026-06-28,Scale,Manufacturing,Sarah Chen,LATAM,v4.2.3,3.09,28.22,6.06,0.0,91988,35,,,,,,False,False,False,False,False,False,False,False,False,False,False,neutral,low,"4/5 - mosaic digital
They want to integrate with Shopify Plus. Asked about marketplace connectors.
Renewal isn't until December so no rush but good engagement.",9.0,Transformed how our team publishes content. Love it.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,0,[],0,LOW,Promoter NPS
